Genes,Olaparib,Veliparib,BMN673,Rucaparib,Cisplatin,Carboplatin,Mitomycin C,SN-38,Epirubicin,Etoposide,Doxorubicin,Camptothecin,Mitoxantrone,Docetaxel,Paclitaxel,Vinorelbine,Busulfan,Chlorambucil,Melphalan,Temozolomide,5-FU,Gemcitabine,6-Mercaptopurine,Methotrexate,Hydroxyurea,NU7441,KU55933,Bleomycin,Actinomycin D,Methotrexate 5-FU,Gemcitabine  Paclitaxel
KIAA1012,0.321955335,0.120817347,0.88949097,0.747759573,0.798398176,-0.297834287,0.782021491,0.194204398,0.869974722,0.544069888,0.559778919,0.041326872,0.071542946,1.633454746,1.474755931,1.660269606,1.332808644,-0.654627497,-0.194143577,-1.297278223,0.002724256,-0.70494954,-1.494399255,0.194627002,0.205214116,-0.338841842,-1.174454876,0.610243869,2.419493229,1.744271815,0.652104029
KIAA0174,0.556815911,-0.421604508,-0.134251218,5.551345153,2.966934622,0.071174246,1.244410314,2.98581787,-0.506755506,1.681598868,2.51181546,-0.44904811,0.029074991,2.121617214,0.438332512,0.053424328,-2.446268142,0.223280538,0.156326431,0.031638935,-3.999968762,0.955747258,0.112693544,4.864128337,0.379053936,-0.442554822,-0.378186252,-0.048282929,2.333591403,-2.075507174,1.534649095
KCTD9,0.241736229,1.08577073,3.921370203,0.789101275,-0.818688314,0.543752182,1.350840994,4.189809493,4.05999933,4.666066788,5.937627319,1.961300443,2.3785779,0.759492418,4.785406038,1.42225955,0.198651526,-0.85763919,-0.321752776,-0.892974205,0.020051974,-4.872074693,-1.857245186,2.115258176,0.182064542,0.746198909,-0.724531577,5.18489597,0.105842069,0.165840733,0.859907685
KCNRG,-1.246850704,-1.381680613,-0.501107394,1.433827648,-0.682557296,-1.139625659,-0.040317005,-0.398540099,0.093837602,-0.050591549,0.037558639,0.146887796,-0.48018929,0.114619227,0.00332772,0.27752554,-0.30466654,-1.140054088,0.126630112,3.389335086,-1.178823542,1.1380767,1.233669896,-0.557888514,-3.124240065,-1.018465003,-1.916475276,0.594111868,0.032130695,-0.107618537,0.174509693
KCNN2,0.005445574,-0.398210658,0.11365161,-0.588306363,0.570200733,0.12694717,0.299093088,0.0569257,-0.156383679,0.285402934,-0.375225897,-0.20585452,-0.116951903,-1.212816926,0.197410412,-0.979628333,0.067317064,-0.540499279,-0.411031459,-0.7773859,0.38891513,0.930460495,-1.211519958,0.489543189,2.092523129,0.085429062,-1.337968022,0.332615668,-1.095091766,0.269465136,1.267219851
KBTBD11,-5.106868964,-2.194236056,-2.118062825,-1.728756901,0.47937017,-3.718262006,-0.786138332,0.041872529,0.073715849,-0.738849805,1.661490372,0.165333845,1.015149418,0.031530627,0.996195406,3.038426104,0.095853662,-5.181172074,-2.229485062,-0.059287693,-0.653453272,2.510945072,-0.178671384,0.707235672,1.860567767,-1.801015392,-1.648924698,2.115125022,-3.043463535,1.765441019,4.471531212
KANK1,0.133496365,0.375280211,-0.374129338,0.411316027,0.265772236,-0.846383697,-0.444665808,-0.457770509,0.287956215,0.11047807,0.063519187,-0.381469928,-0.533019838,-0.263714714,-0.22929715,0.100178568,0.138330814,-0.525848609,0.237119164,0.092690303,0.180163734,-0.838150116,-1.327703693,0.171625384,0.28657513,-0.65981315,-1.007441332,-1.114210367,0.282166176,-0.200137492,-0.541909021
JMY,0.922041053,0.156203495,5.049486922,4.349404283,2.224831489,0.267142383,4.817333704,0.585635623,3.38697829,2.579920183,2.579591914,0.074596352,0.444279475,0.829532474,1.963104178,0.496891041,5.645463894,-0.010177918,-0.151733069,0.425010831,3.712812771,0.048405487,-0.564548037,3.363175392,1.406689963,4.475365837,0.00335642,5.926662929,3.297173231,3.756858803,3.63845556
JMJD3,-0.203631905,-1.273817158,-0.886882984,-0.079108884,-1.176024514,-1.309453039,-0.841381276,-0.271595424,-0.042916452,-0.42184804,-0.477598694,-0.02882832,-0.087619801,-1.127055144,-0.010968324,-3.301497999,-0.474224374,-0.414330857,-0.169777141,-0.252179998,-1.598762906,0.404027943,-0.186146434,-0.952924941,-2.390068883,-0.182364825,-2.155223924,-0.183960752,-1.151146094,-0.961391732,-0.200855093
ITPKA,-1.068415453,-0.38467673,0.753549346,-0.899496147,0.026485269,0.300976092,-2.022373964,0.063315225,-0.092236034,-2.133588312,0.439642385,-0.016470253,0.128575141,-2.393837924,4.167146312,-0.159603144,-1.403991709,-0.161036001,-0.065080466,0.229336493,-1.152932936,-1.745334962,0.609388216,-1.008087951,0.325488312,-0.061014809,-1.030861254,1.908868468,-1.656778116,1.102624712,4.225734859
ITM2B,3.027607593,1.787757242,2.235952692,2.561729204,1.853996335,2.805699932,2.847699138,0.113599926,-1.164927369,1.153948044,-1.779178179,1.33911112,-0.170494575,1.431467159,-2.726328508,0.418031005,1.716589559,1.89771779,2.536441369,-0.160151818,1.27252463,0.645247803,1.908009122,1.21068601,0.545434521,4.237652766,2.455138808,-1.591198434,3.332404681,1.482021317,0.465529143
IQGAP2,0.83892588,1.63285135,-0.110144351,0.05384728,-0.195470877,-1.202657552,-0.444001208,-0.18537531,-0.763010251,-0.286664663,-0.511400489,0.051706676,-0.462759767,0.20336527,0.305480132,0.904755042,-0.722319582,-0.232306107,-0.037182057,-1.655136313,-0.257940894,2.37287911,0.038935791,-0.292458925,2.182147374,-0.454489898,-0.594060836,-0.339585469,0.325410847,-1.220584361,2.480552419
IPO5,0.530503963,0.116823056,1.289036549,2.467886998,1.208691233,-1.637569076,0.948565038,-0.62720816,-2.988593541,0.500305208,0.230896058,-1.656267374,-1.224109832,0.319538837,-0.280598005,0.391837416,1.257878985,-0.941476833,-0.883503575,0.439513459,-0.558091326,-0.980105812,-0.097482404,0.105051224,0.801421542,-1.452697484,-0.221624873,0.084372131,1.891058289,0.03536902,-0.372382392
INTS9,0.411216804,-1.717350348,0.379059243,-0.477529488,-0.041364582,-1.256254553,-0.102498032,0.502364919,0.262938196,-0.230412082,0.418008048,0.079183657,0.321512596,-2.351312666,-0.08263627,-3.03338766,-0.199770698,-0.066629861,0.02958605,-2.133337413,-0.233680292,0.585828354,-0.82237441,0.532505206,-1.615267613,0.674813201,-1.685374568,-0.151038143,-0.01984861,0.042979907,-0.615502572
INTS10,-1.988240036,-0.432352422,-1.453409621,0.032593955,-0.526999213,-1.393155672,0.959142822,-1.532230203,-0.243691943,-2.548779709,-2.006130755,-0.02841993,-0.052966233,2.14837073,-2.530193248,-0.0843978,-0.78822133,-2.253788347,-0.031378414,1.325901109,0.611302568,2.205885175,-0.049427565,0.390513319,1.037499781,-1.242936704,-0.739196594,-1.481850567,-0.526781725,0.391069179,-2.934326366
IL13RA1,2.452717606,-0.043780887,0.030609434,0.54902948,0.21521568,-0.068754035,0.143165993,0.050981277,0.582234145,0.209496254,0.084526176,0.684636937,-0.148055029,-1.387957617,-2.069667946,-0.042582473,1.888073319,-1.683677959,-0.040031411,1.11645052,-0.462122636,1.553198843,-0.54630224,0.226923818,0.551771919,-2.143361414,-0.254502181,-0.494387073,0.160085272,-1.89020501,-1.921207701
IFT74,-0.187666844,0.281885959,0.268153312,-0.635067062,-1.994109911,-0.820750463,-1.019820713,-0.867342516,-0.26756815,-0.781606709,-2.465279783,-0.093061832,-0.234107677,0.266157382,0.326523189,-0.99723253,-1.58041127,-0.985879481,-0.204524489,-1.902872634,-1.939801691,0.791091625,0.524473924,-1.196665103,-0.342756062,-1.285519463,-1.782733815,-1.378067486,1.002039272,-1.961231666,2.34856843
HSPA8,-0.364064662,-1.813260806,-0.125214463,0.372337192,-0.0012799,-0.01849127,-0.217576226,-0.263002935,-0.678103886,-0.086013193,-0.142059662,-0.07358301,-0.524217732,-0.08201299,-0.011510166,-5.705147245,-1.1807542,1.735525116,0.986333272,-2.713705451,-0.126563172,-0.305612878,-3.779370517,0.373531613,-1.559250077,-0.016566044,0.837681365,-0.830213221,0.584791172,-0.061409036,-1.846445524
HSD17B4,-0.131112798,1.007892755,2.472504471,2.177815175,-1.923136445,-0.424559606,0.73136027,-0.308958438,-0.149457784,-1.383680074,-1.986786214,-0.091094262,-0.085335936,0.305442612,0.20025564,1.558652365,-1.252299648,-0.318227038,-0.071454174,-1.559741052,2.426617387,-0.154701851,0.325994572,1.135710954,1.288852489,-0.108673184,-0.371590339,0.577983137,0.389688023,0.002159179,0.100821573
HOMER1,3.275883956,3.590703443,1.543219404,1.931693251,0.830611804,4.127573701,1.532403135,-0.206876264,-0.85853087,1.287028976,-1.633943898,0.950241968,-0.54057117,1.734530595,-2.570646085,-2.924735251,2.670200977,3.868416036,0.958230718,2.214128184,-0.300641171,1.4541965,-0.289704459,-0.20171088,-1.579360038,3.751413363,3.833294241,0.509608001,-0.191452796,-0.043736979,2.569022156
HMGCR,-2.709266726,-0.268510539,-0.303076197,1.969096806,-3.967872319,-3.754247032,-1.273707378,-0.223122124,-0.334612428,0.495322278,-2.420111048,-1.603056356,-0.724155652,-0.174146728,-0.638508943,0.428247476,1.385595924,-5.45954878,-3.088150196,-0.177522174,-0.004152887,-2.570703637,-1.54106898,-1.961277927,0.158920015,-4.230802638,-3.124141225,-3.302421583,1.713414725,-0.387336355,0.542093698
HMBS,-2.183510673,-0.108498107,-0.060242588,0.06342067,-0.044884079,-1.722210985,0.233489531,0.110299513,-0.250867131,-0.226886714,-0.14447449,-0.105873949,-0.234687637,-0.869473606,-0.290210363,-3.870088914,0.34566008,-0.133589279,-0.016585583,-1.930990587,-0.193132768,-0.741925253,-1.699445158,-0.179737894,-0.154229744,1.258005147,0.493121775,0.22415689,0.191339718,-0.375978467,-0.597329424
HISPPD1,0.006963353,3.125955986,0.034900143,-0.191752777,0.246734759,0.554591151,0.287069696,-0.113640474,-4.660236145,-0.517061634,-0.56518732,0.921094435,-1.980037772,0.083842112,0.649072221,0.537289443,0.169156107,1.946494374,1.955280177,1.074397039,0.283169448,-0.19604456,1.715653226,0.226372495,1.666648478,-2.756172161,1.640343793,-0.673198275,1.233466706,-0.205041894,0.061096764
HIATL1,-0.222566979,0.004986436,-0.25821551,-0.310986481,0.302591908,0.016920926,-0.128494444,-0.092732373,-0.077598946,0.01528733,-0.177479834,0.004938275,0.008637562,0.877432107,-0.334381829,0.152274896,-0.071189518,-0.081770004,0.015088323,0.094673197,-0.038404266,-0.219873012,0.020371518,0.027538603,1.132519136,-0.09250128,-0.193575936,-0.180769723,-0.705336837,0.309464223,-0.246764574
HEXB,2.534650597,0.856954126,0.078742823,1.304779062,-1.438749555,0.91500907,0.0749091,0.137128067,1.974039845,0.039664582,0.408092043,-0.301690987,-0.115616355,0.109438546,5.077633664,1.654251971,0.85269875,-0.504565881,-0.81059446,0.65435962,-0.83769104,3.59197672,-0.148076933,-1.268961579,-0.196550475,-0.440775292,1.775347134,-0.399040747,0.161657032,0.233569203,0.369061332
HERC2,-1.79611309,-1.810376074,0.092679848,-1.76665973,5.470480067,-3.120939455,-0.4662662,0.39989377,0.847644273,0.550656708,1.222160701,0.924680373,1.333972723,0.145709886,3.114725408,0.612780235,2.140038029,-3.908332324,-2.458372304,1.563011929,1.680254671,-1.944757523,-0.262450473,1.040041722,0.235473422,-2.553064045,-2.214453175,0.075087345,-5.412596897,0.577166129,1.164523218
HELQ,-0.333923449,-0.205861256,-1.957392282,1.028973153,-0.095447424,-1.497489771,-2.983748791,-1.155505234,0.085931966,-0.727984579,1.45830883,-0.029267546,-0.018494448,-0.148864551,-1.308745207,1.524694374,-0.260477328,-0.133463747,0.087232988,0.784198671,-0.162195139,-3.951377774,0.142608805,-0.196750747,0.601094769,0.697992855,0.078433152,1.060209257,-1.386689304,-0.584779413,-3.884808354
HACE1,-4.008455481,3.50851145,-1.413655174,-0.233674926,-2.081911197,4.846093915,-2.197523405,-0.167526055,0.766797489,-1.864379354,-0.726503601,-4.716185003,-5.170179695,0.627755755,-0.129542299,8.461840759,-0.52078493,-8.310210454,-5.617771998,4.38935096,0.086494043,-4.231027021,7.956124923,0.739042402,-2.162360705,4.325759094,-4.858296881,-1.947716111,-2.904421065,-0.077850339,0.651194497
GTPBP6,0.135835128,0.403064046,1.351192195,-0.569397829,0.83942099,0.85251201,0.207822304,0.133796795,-0.209519341,0.00017692,0.042451076,0.026426631,0.030211544,-0.270611389,-0.165842387,-2.083530803,0.603582416,0.408744676,0.169830499,0.013936611,0.961124661,3.251026153,2.502498019,0.925424006,0.209889456,0.173295817,0.937926392,1.028257121,0.496621971,0.888093506,0.847359717
GTF2H5,3.252129622,0.416898118,0.483911771,0.440504183,0.375072657,2.239479594,0.419954714,0.113675055,-2.161035484,0.023385048,-0.053652689,-0.017414164,-0.523733042,-0.010717687,-0.621897733,-1.025374075,0.364913489,3.196797682,1.604617392,-1.439394598,-0.140035589,-0.214462796,-0.042782825,0.072058125,0.650808181,1.171335028,-3.717633113,0.440593245,-0.053351358,-0.506808282,0.187054244
GTF2H4,-1.75437926,-3.025263582,-1.214778064,-2.14863805,0.66432561,-1.06954084,-1.37996176,0.176690788,0.030741188,0.25448912,-0.020690684,-0.092470696,-0.147483904,0.067024359,0.55654391,-1.706410346,0.027285736,-1.172547171,-0.459283081,-2.10505823,-2.386934678,0.272389015,-1.990012574,-0.278343138,-2.746650471,-0.060536888,-1.674648458,-0.723878829,0.160070756,-1.400716836,0.189782899
GTF2H3,0.035831632,-0.018855476,0.000810167,-0.547461942,-2.443463175,0.012535909,-1.052358382,-0.339779638,0.048453004,-0.03504357,0.110284084,0.601125486,0.238788802,1.098328272,1.845199079,2.009373924,-0.985606479,-0.976534905,0.077157523,-0.601954907,-2.002168131,0.006558701,1.203619049,-0.75915433,1.165289905,-0.14156739,1.251199924,1.5671593,-0.51002972,-3.034802488,2.16401218
