Gene,ABT199,Quizartinib,JQ1,Vorinostat,Selinexor,Cytarabine,Mitoxantrone,Decitabine,Azacitidine
ALOX5,0.272537346,-0.143271361,-0.520486487,0.290198508,0.095644582,0.304194539,-0.36148714,-0.583137418,-0.475238881
ALPK1,0.077150884,0.051231586,0.285760641,-0.127234525,0.076809192,-0.072423923,0.062673792,0.101205415,0.032606069
ALPK2,0.009346984,0.116168281,0.285345531,-0.385242904,-0.161022691,-0.077224951,0.125063419,0.363279046,0.082520644
ALPK3,0.270536851,-0.215184491,-0.478906362,0.206986522,-0.160400109,0.12347606,-0.585574968,-0.97055886,-0.576197651
ALPPL2,-0.101531227,-0.08308308,0.256165153,0.084080167,0.002576962,-0.022858393,0.089918959,0.073582758,0.04103052
ALYREF,-0.726357842,0.299924521,-0.532654111,-0.088853744,-0.575715152,0.181242528,-0.471507563,-0.842295888,-0.742241137
AMHR2,-0.21117824,-0.29457826,-1.180821271,0.57401133,-0.103140304,0.184481049,-0.31428621,-1.11631058,-1.049262348
AMY2A,-0.357370748,0.17764625,0.632000929,-0.283861215,-0.326106766,-0.266061813,0.262025076,0.370579179,0.370064896
ANKK1,0.049603609,-0.11576873,-0.49094259,0.215576895,-0.039141427,0.207722915,-0.200565188,-0.096510782,-0.266859127
ANP32E,0.341866339,-0.429046465,0.065541119,0.099260387,0.239213179,0.031713211,0.170040173,0.194412356,-0.017564756
ANXA1,0.358890082,0.095299111,0.288264674,-0.242249102,-0.151564406,0.022114849,0.27987802,0.112317158,0.325831978
APBB1,0.147846742,0.122431267,0.201162006,0.12045693,-0.140626044,-0.064098504,0.015691907,-0.166729922,-0.068191982
APC,-0.160864468,0.20915485,0.802809047,0.018892787,0.125926343,-0.036385813,0.405469395,0.14041605,0.275405274
APEX1,-0.453841832,-0.389116636,-0.916695576,-0.169415802,-0.224288825,0.020436561,-0.567893504,-0.478779167,-0.548702991
APEX2,-0.29193032,-0.054971321,-0.200216361,0.163485434,0.042971751,-0.194379353,-0.11392409,0.156491738,0.319754071
APITD1,-0.139787437,0.136239877,-0.084504901,0.198787424,0.081259213,0.241669463,-0.119697224,-0.094541848,-0.165106968
APP,-0.086945603,0.199745129,-0.039184362,0.480113037,0.163475597,0.226707521,0.084921449,-0.35800903,-0.223523935
APTX,-0.010051197,0.035742995,-0.183933396,0.248129969,-0.084881648,0.279281413,-0.311745857,0.144357802,0.03621865
AR,0.293154954,-0.11161308,0.384934446,0.129145468,0.2119878,0.323232459,0.345544497,0.048083718,-0.029411289
